지역,내용
여수시,"여수지방의 기후는 학자에 따라 여러 기후대로 분류되나, 1963년 우리나라 지리학자들과 기상학자들의 종합적인 검토를 거쳐 교과서 편찬자료로 정해진 기후구분에는 남해안기후대에 속한다. 여수지방은 연평균기온이 14.3℃이고, 연평균상대습도는 66%이나 동절기의 상대습도는 타지역보다 5∼6% 낮으며, 연평균풍속은 4.1m/s, 연강수량은 1,439.0mm이다. 1994년 7월 20일의 37.1℃가 지금까지의 극값이고, 일최고기온이 0℃이하로 하강하는 날은 4일정도이다. 일최저기온이 0℃이하로 하강하는 날은 연간 40일정도이며, 영하 10℃이하까지 하강하는 날도 하루정도 되고, 일최저기온극값은 1977년 2월 16일의 영하 12.6℃이다. 월강수량이 가장 많이 내린 달은 1963년 6월로 833.5mm이었고, 2010년 7월 16일에는 288.0mm가 내려 일강수량의 극값을 기록했으며, 1981년 9월 24일에는 1시간강수량이 77.4mm로 시간당강수량의 극값이다. 10분간강수량의 극값은 1969년 7월 31일의 30.8mm이고, 일적설최심은 1945년 2월 25일의 20.6cm였다. 최소습도가 20%미만인 날은 매년 6일정도이고 최소습도의 극값은 6%로 1994년 1월 4일을 비롯하여 4번 나타났다. 최대풍속의 극값은 2003년 9월 12일 태풍 매미가 통과할 때로 NE풍이 35.9m/s로 불었고, 최대순간풍속의 극값도 2003년 9월 12일의 E풍 49.2m/s였다."
완도군,"한반도 남서단인 전남서부 남해안에 위치하여 비교적 저위도 지방이며, 연평균 강수량 1532.7mm, 연강수일수 110일로 다우지역에 속하며 우기인 7월의 월평균 강우량은 285.3mm 인데 비하여 건기인 12월은 27.4mm로서 그 차는 258.3mm이며 12월의 강우량에 10.4배 이상에 달한다. 연평균기온은 14.1℃로써 높은편이고 월평균기온이 영하로 내려가는 일이 극히 드물다. 여름철 최고기온은 타지역보다 낮고 겨울철 최저기온은 높아 온화한 해양성기후이며, 바람은 연중 북∼북서풍이 많고 연평균풍속은 3.6㎧로 다소 강한 편이며 SE풍이 불때는 취주거리가 길어져 파고가 높은 편이다."
고흥군,"고흥지방은 내륙보다 해양의 영향을 많이 받아 기온의 일교차가 적으며, 겨울에도 눈오는 날보다 비가 오는 날이 많으며, 연평균기온은 13.6℃로 여수, 완도보다 다소 낮고, 연강수량은 1,453.4㎜로 완도나 여수보다 조금 많은 편이며, 연간 적설일수는 6∼7일에 불과 하다. 연평균습도는 69%이며, 연평균풍속은 1.5m/s로 바람이 약한 편이다. 일최고기온 극값은 1994년 7월 20일 38.5℃, 일최저기온 극값은 1985년 1월 30일 영하 14.4℃이며, 일강수량 극값은 1981년 9월 2일 487.1mm이다."
장흥군,"장흥지방은 전남서부 남해안에 위치하면서 북쪽으로 화순군의 고지대와 접하고 있어, 여름기온이 높게 나타나고 겨울철 기온이 주변보다 낮아, 기온의 연교차가 큰 분지형태의 기후특성을 보이고 있음. 바람은 연평균풍속이 1.8㎧로 인근지역(내륙)에 비해 비교적 강한편이고, 연평균 강수량은 1505.6㎜로 다우지역에 속하며, 연평균기온은 13.0℃로 온난하다."
해남군,"전반적으로 겨울철에는 대륙성기후의 특성을, 여름철에는 해양성기후의 특성을 보이며, 연평균강우량은 1360.2㎜로 남해안 다우지역에 속하며, 여름철에 약 50%이상이 집중적으로 내린다. 서해안에 인접한 화원, 문내, 산이, 황산면 등은 서쪽에서 접근하는 고·저기압의 영향을 주로 받으며, 남해안에 인접한 송지, 북평, 북일, 현산, 화산면 등은 남해안을 통과하는 고·저기압의 영향을 주로 받기 때문에 저기압의 이동경로에 따라 강수량의 편중현상을 보이며, 특히 겨울철에는 대륙고기압의 확장전면에서 호남서해안의 지형적인 영향에 의한 강설 현상이 해남서부지역에 동반되기도 한다. 연평균기온은 13.4℃이며, 연평균 풍속은 2.2㎧로 약한 편이지만, 바다를 접하고 있어 가끔 돌풍현상이 자주 나타난다."
광주,"광주지방 연평균 기온은 13.8℃이고, 1월 평균기온 0.6℃, 8월 평균기온 26.2℃로, 연강수량은 1,391.0mm이다. 무등산을 중심으로 동쪽은 우리나라 기후대의 남부내륙형, 서쪽은 남부 서해안형에 속하고 있어 점이지대로 볼 수 있으나, 남부서해안형에 가까운 특징을 보이고 있다. 겨울철에는 주로 서~북서풍에 의한 강설현상이 자주 나타나 평균 31일 정도의 강설일수를 보이고 있다."
순천시,"순천 시내는 해양성 기후의 특성을 보이고 있으며, 주암면, 황전면 등 시내의 북서쪽 지역은 대륙성 기후특성을 보인다. 주암댐 주변으로는 봄 가을철로 안개끼는 날이 많다. 연평균기온은 12.6℃이며, 일 최고기온은 39.4(1994.7.24)이며, 기온의 연교차가 크다. 연평균 강수량은 1,531.3mm로 주변의 장흥과 비슷하며, 특히 98년 9월에는 시간당 145mm의 집중호우가 발생하기도 하였다. 풍향은 겨울철에는 북서∼북동풍이, 여름에는 남동∼남서풍이 많이 불고 그 밖의 봄과 가을은 서풍계열의 바람이 많이 불며, 순간최대풍속은 23.0㎧(2008.1.16)이며, 연 평균풍속 1.2㎧로 비교적 바람이 약하게 분다."
군산시,"연평균강우량은 1202.0mm, 일 최다강수량은 310.0㎜(2000. 8. 26), 1시간 최다강수량은 81.0㎜(10. 7. 23), 연평균기온은 12.8℃, 일 최고기온 36.9℃('94, 7, 24), 일 최저기온 -14.7℃(04, 1, 22), 연평균풍속은 3.8㎧로 2월∼4월에 NW풍이 비교적 강하게 불며, 봄과 가을 맑은 날에 해륙풍에 의하여 내륙지역보다 기온이 낮게 형성된다. 특히 해안지역이라 안개가 자주 발생하는데 대부분 해무로 연간 평균 41일이나 되며, 겨울철 찬 대륙성 고기압 확장시에는 돌풍현상과 소낙성눈이 자주 내리고, 폭설로 이어지는 경우가 자주 발생하며, 특히 서해바다와 접해있어 해양성 기후특성을 보이고 있다."
부안군,"일반적인 기상특성을 보면 부안내륙쪽으로 대륙성기후특성이, 내변산지역은 산악기후특성이 나타나고 있으며, 외변산은 서해바다에 접해있어 해양성 기후특성을 보이고 있다. 강수량은 6∼9월에 연강수량(1250.4mm)의 66%(약 823mm)이상이 집중적으로 내리고 있으나, 겨울철 강수량은 110.4mm로 여름철에 비해 큰 차이를 보이고 있다. 연평균 풍속은 1.6m/s로 다른 해안지역보다는 낮지만, 부안서남단에 위치한 격포항부근은 앞바다해상 보다도 풍속이 높게 나타날 정도로 강한 바람이 부는 경우가 간혹 있다. 겨울철 강설현상은 북서쪽의 차가운 대륙성고기압 확장시 소낙성 눈이 내리는 경우가 자주 있고, 때에 따라서는 폭설로 이어지는 경우도 연 1∼2회 있으며, 전북서남단에 위치한 지역특성상 서해안 적설관측의 첨병 역할을 톡톡히 하고 있다."
전주시,"전주지방 주변의 기후는 서쪽은 남부서해안형에 속하고 동부의 산악지대는 내륙형에 속한다. 따라서 서쪽지역은 서해의 영향을 받아서 내륙지방에 비해 기온의 연교차가 적고 우량이 산악지대 보다 적은 것이 특징이다. 동쪽 내륙지방은 서해안지방에 비해서 기온의 한서의 차가 심하고, 동절기는 건조하며 여름철은 고온 다습하다. 따라서 전주지방의 기후의 특징도 남북의 차이보다 동서의 차가 크며 그 이유는 동고서저의 지형을 이루고 있기 때문으로 사료된다. 전주지방의 연평균 기온은 13.3℃로서 인근지역(군산,임실,남원)보다 높은편이며, 정읍지방과는 비슷하다. 연평균 강수량은 1313.1mm로서 인근지역(임실,남원,장수 등) 보다 적은 편이다. 바람은 비교적 약한 편으로 연중 정온 상태가 16.7%이며, 남-남동풍계열의 바람이 약 29%를 차지하며, 연평균 풍속은 1.6m/s이다."
정읍시,"연평균강수량은 1317.3mm으로 전주와 비슷하나 남원과 임실보다는 적은편이고, 여름강수량은 706.1mm이며, 겨울강수량은 123.1mm로 겨울철에는 타지역에 비해 다우 지역에 속한다. 강수일수는 113일정도이며, 적설일수는 32일이고, 눈일수는 26일로 타지역에 비해 많은 편이다. 연평균풍속은 1.1m/s 분포로 약한 편이고, 안개는 14일정도로 타지역에 비해 훨씬 적으며, 우박은 1번정도의 피해를 준다. 서리일수는 96일, 얼음일수는 110일정도, 황사는 5번정도이며, 뇌전은 9번정도로 타지역에 비해 적게 나타난다. 겨울에는 W-NW풍이 많은 편이고, 그외에 주 풍향은 SE풍이 많은편이다. 정읍시는 지형특성상 겨울철에는 서해안지방과 비슷한 기후특성을 보여 대설이 잦은편이고, 그 외 계절에는 내륙지방과 비슷한 기후특성을 보인다."
임실군,"임실군의 연평균기온은 11.2℃로 전주나 남원지방에 비해 낮고 연평균 강수량은 1351.9mm로 주변지역과 비슷하다. 바람은 연중 남풍을 중심으로 남동내지 북서풍이 많이 불고 풍속은 타지역과 비교하여 비교적 약하게 분다. 특히, 겨울철에는 호남지방에서 가장 추운 지역에 속하며, 지형이 겨울철 바람의 풍상측에 위치하게 된다. 이 때문에 경사면상에 강제상승이 일어나 주변지역에 비하여 눈이 자주 내리고 적설량도 조금 많다."
남원시,"남원시의 평년강수량은 1380.4mm이며 그중 여름철 강수량이 782.0mm로 연강수량의 56%를 차지하고 있다. 연평균기온은 12.3도이고 최난월인 8월 평균기온은 25.2도, 최한월인 1월의 평균기온은 -1.4도로 온대 하우기후의 특성을 보인다. 연평균풍속은 1.3m/s로 약한 편이며 주로 NW류의 바람이 다소 강하게 불지만, 봄철에는 SW류의 바람이 다소 강하게 불기도 한다. 남원시는 지리산의 서쪽에 인접한 내륙분지형의 지형인 관계로 서리가 늦게까지 오기도 하고, 첫서리가 일찍 내려 농작물에 많은 영향을 준다."
장수군,"장수지방은 우리나라 남한의 중앙부를 가로지르는 소백산맥 서쪽에 있으며 장수를 중심으로 남서쪽에 팔공산(1,150m), 남으로는 율두봉(1,140m), 동남동쪽에 장안산(1,230m), 북동쪽에 백화산(850m), 기태봉(1,014m), 북동쪽에 성수산(1,059m)등 크고 작은 산들이 서로 연결되어 있어 병풍을 두른듯한 분지형태의 지형이다. 또한 산맥과 산맥사이의 통로가 북쪽으로 열려있어 겨울철 한기유입이 용이하여 겨울철 고기압 유입시 한기가 갇혀 기온하강이 매우심하며, 일교차가 비교적 다른 지방에 비하여 크며, 여름철 기온이 30℃를 넘는 날이 드물다. 연평균기온은 10.5℃로 다른지역에 비해 낮으며, 연평균 강수량은 1,464.3mm로 다른지역에 비해 다소 많은 편이다. 주풍향은 북풍과 북북동풍이 20.2%로 주로 많이 불며, 연평균 풍속은 1.7m/s로 산곡풍이 탁월한 것이 특징이다. 최고기온 극값은 1994년 7월 24일에 34.7℃, 최저기온 극값은 1991년 2월 23일에 -25.8℃, 일 최다 강수량은 2002년 8월 31일에 182.5mm, 일최심 신적설은 2006년 2월 7일에 21cm였다."
부산,"봄(3∼5월) : 평년 평균기온 13.3℃, 강수량 370.8㎜, 평균풍속 3.9m/s이며, 남서풍이 불 때는 따뜻하나 북동풍이 불 때는 싸늘한 날씨를 보임. 
여름(6∼8월) : 평년 평균기온 23.6℃, 강수량 778.6㎜, 평균풍속 3.6m/s이며, 장마전선이나 발달한 저기압 통과 시 국지적인 집중호우가 자주 발생함. 장마가 끝나면 남동계절풍으로 습도가 높고 무더운 날씨가 지속되며, 맑은 날 오후에는 해풍의 영향을 많이 받음. 
가을(9∼11월) : 평년 평균기온 17.2℃, 강수량 262.2㎜, 평균풍속 3.4m/s이며, 태풍으로 인한 피해를 제외하고는 가을철 이동성 고기압의 영향을 주로 받으며 대체로 맑은 날이 많음. 가을이 되면서 일교차가 커짐. 
겨울(12~2월) : 평년 평균기온 4.7℃, 강수량 106.9㎜, 평균풍속 3.7m/s이며, 찬 대륙고기압 확장 시 바람이 강하게 불고, 남해상을 지나는 기압골과 동풍의 영향으로 비나 눈이 내림."
울산,"연평균기온은 14.1℃, 최고기온은 19.2℃, 최저기온은 9.8℃, 연평균강수량은 1,277.1㎜. 
봄(3∼5월) : 평년 평균기온 13.1℃, 강수량 265.0㎜, 평균풍속 2.3m/s이며, 북동기류에 의한 북동풍이 탁월하고, 울산서쪽 산간지역으로 일교차가 크게 발생함 
여름(6∼8월) : 평년 평균기온 24.1℃, 강수량 649.4㎜, 평균풍속 2.0m/s이며, 여름철 국지적인 집중호우가 자주 발생하고, 공단지역으로는 여름철 연무로 인해 시정이 좋지 않음. 
가을(9∼11월) : 평년 평균기온 15.9℃, 강수량 262.8㎜, 평균풍속 1.9m/s이며, 태풍으로 인한 피해를 제외하고는 가을철 이동성 고기압의 영향을 받으며 대체로 맑은 날이 많음. 
겨울(12~2월) : 평년 평균기온 3.4℃, 강수량 99.9㎜, 평균풍속 2.3m/s 이며, 북서풍이 탁월함. 눈이 적게 오는 지역이지만 2월에 북동기류로 인해 눈이 다소 내림."
창원시,"연평균기온이 14.9도로 온화한 편이고, 연평균강수량은 1,545.4㎜로 다우지역에 속하며 주로 여름철에 집중됨.

봄(3∼5월) : 평년 평균기온 13.7℃, 강수량 346.4㎜, 평균풍속 2.3m/s이며, 해안지방이지만 바람이 약한 편이고, 낮에는 해풍이 자주 나타남.

여름(6∼8월) : 평년 평균기온 24.5℃, 강수량 825.1㎜, 평균풍속 2.3m/s이며, 장마기와 태풍 내습 시 호우가 발생하고 장마가 끝나면 남동계절풍으로 습도가 높고 무더운 날씨가 지속됨.

가을(9∼11월) : 평년 평균기온 17.1℃, 강수량 269.7㎜, 평균풍속 2.0m/s이며, 초가을 태풍영향 시기를 제외하고는 맑은 날이 많고 안개일수가 적음.

겨울(12~2월) : 평년 평균기온 4.4℃, 강수량 106.6㎜, 평균풍속 2.2m/s이며, 북서계절풍이 낙남정맥을 넘어 국지적으로 푄현상이 있으며, 맑고 건조한 날씨가 많음. 강설일수가 적으나, 저기압이 남해상을 통과하는 경우 적설량이 많음."
진주시,"진주지방은 소백산맥이 북서쪽으로 뻗어내려 있으며, 경남의 동맥인 남강이 저곡부를 따라 동쪽으로 흐르고 있음. 북서쪽으로 약 40km 거리에 소백산맥 최고봉인 지리산(천왕봉 해발 1,915m)이 있고, 동·서·남쪽으로는 해발 200m 내외의 완만한 야산으로 둘러싸여 있는 내륙 분지형임.

연평균기온은 11.7℃, 연평균강수량은 1,316.8㎜.

봄(3∼5월) : 평년 평균기온 12.4℃, 강수량 313.2㎜, 평균풍속 2.1m/s이며, 복사냉각 효과로 아침 최저기온 하강이 두드러짐.

여름(6∼8월) : 평년 평균기온 24.1℃, 강수량 830.0㎜, 평균풍속 1.9m/s이며, 일사에 의한 최고기온 상승효과가 높은 편임.

가을(9∼11월) : 평년 평균기온 14.4℃, 강수량 274.5㎜, 평균풍속 1.4m/s이며, 진양호와 남강의 수증기원이 있어 안개가 자주 발생함.

겨울(12~2월) : 평년 평균기온 1.3℃, 강수량 94.9㎜, 평균풍속 1.9m/s이며, 맑고 건조한 날씨가 많음."
거창군,"연평균기온은 11.7℃, 연평균강수량은 1,316.8mm.

봄(3∼5월) : 평년 평균기온 11.3℃, 강수량 225.4㎜, 평균풍속 1.5m/s이며, 서리나 얼음현상이 늦게까지 발생하고 일교차가 큼.

여름(6∼8월) : 평년 평균기온 23.0℃, 강수량 760.4㎜, 평균풍속 1.0m/s이며, 국지적인 집중호우가 자주 발생함.

가을(9∼11월) : 평년 평균기온 12.6℃, 강수량 246.2㎜, 평균풍속 1.0m/s이며, 내륙 산간 분지에 위치하여 서리나 얼음 현상이 빨리 나타나고 안개가 자주 발생함.

겨울(12~2월) : 평년 평균기온 -0.3℃, 강수량 84.6㎜, 평균풍속 1.3m/s 이며, 경남지방 중에서 눈이 많이 내리며 기온이 낮음."
통영시,"연평균기온은 14.7℃, 연평균강수량은 1,450.8㎜.
봄(3∼5월) : 평년 평균기온 13.2℃, 강수량 391.5㎜, 평균풍속 2.7m/s이며, 안개로 인한 시정장애 현상이 많음.

여름(6∼8월) : 평년 평균기온 23.8℃, 강수량 736.9㎜, 평균풍속 2.5m/s이며, 국지적인 집중호우가 자주 발생함.

가을(9∼11월) : 평년 평균기온 17.1℃, 강수량 230.7㎜, 평균풍속 2.4m/s이며, 이동성 고기압의 영향으로 맑은 날이 많으며 주로 11월 초에 첫서리가 나타남.

겨울(12~2월) : 평년 평균기온 4.5℃, 강수량 91.7㎜, 평균풍속 2.7m/s 이며, 다른 지역에 비해 따뜻함."
대구,"연평균 기온은 14.1℃로 인근의 구미보다 높고, 포항과 비슷하며, 해를 거듭할수록 기온이 높아지는 경향임. 연평균 강수량은 1,064.4㎜임. 바람은 연중 서~북서풍 계열이 많이 불고, 연평균 풍속은 2.7m/s임.

봄(3~5월) : 평년 평균기온 13.7℃, 강수량은 190.0㎜, 평균풍속 2.9m/s

여름(6~8월) : 평년 평균기온 25.0℃, 강수량은 602.5㎜, 평균풍속 2.7m/s. 분지의 특성상 열대야, 폭염이 빈번하게 발생함.

가을(9~11월) : 평년 평균기온 15.5℃, 강수량은 207.8㎜, 평균풍속 2.3m/s

겨울(12~2월) : 평년 평균기온 2.2℃, 강수량은 63.7㎜, 평균풍속 2.8m/s"
구미시," 구미지방은 경북남부내륙지역에 속해 있으며, 기온의 한서 차가 심함.

연평균기온은 12.5℃, 연평균강수량은 1,072.5㎜임. 바람은 연중 북서풍을 중심으로 북서∼남동풍이 많이 불고, 겨울철에는 북서계절풍이 뚜렷한 경향임. 가을철, 겨울철에는 안개가 자주 발생함.

봄(3∼5월) : 평년 평균기온 12.4℃, 강수량 188.6㎜, 평균풍속 1.9m/s임.

여름(6∼8월) : 평년 평균기온 24.0℃, 강수량 605.2㎜, 평균풍속 1.2m/s임.

가을(9∼11월) : 평년 평균기온 13.5℃, 강수량 213.6㎜, 평균풍속 1.3m/s임.

겨울(12~2월) : 평년 평균기온 0.3℃, 강수량 65.0㎜, 평균풍속 2.1m/s임."
포항시,"봄(3~5월) : 평년 평균기온 13.3℃, 강수량 215.0㎜, 평균풍속 2.9m/s이며, 북동풍이 자주 불고, 이때 동해상의 다습한 기류가 유입되면서 태백산맥의 영향에 의해 지형성 강수현상이 자주 나타남. 4월 초순까지 서리가 내릴 때도 있음.

여름(6∼8월) : 평년 평균기온 24.0℃, 강수량 572.2㎜, 평균풍속 2.6m/s이며, 남서풍이 주풍으로 나타나고, 태풍이 대한해협을 통과하여 동해상으로 진출할 때 호우현상이 자주 발생함.

가을(9∼11월) : 평년 평균기온 16.2℃, 강수량 261.9㎜, 평균풍속 2.6m/s이며, 이동성 고기압의 영향으로 맑은 날이 많고, 10월 중순에 서리가 내리는 경우도 있음.

겨울(12~2월) : 평년 평균기온 3.4℃, 강수량 103.3㎜, 평균풍속 2.8m/s이며, 북서계절풍이 탁월하고, 맑고 건조한 날이 많으며, 강한 대륙성 고기압 확장 시 산간지방에 눈발이 날릴 때도 있음."
안동시,"연 평균기온은 11.9℃(1983~2010년)로 인근의 봉화, 의성, 영주, 문경지방보다 다소 높고, 구미, 영덕, 울진지방보다 다소 낮은 편임. 연강수량은 1,066.4㎜(1983~2010년)로 의성지방보다는 조금 많고, 영주, 문경, 봉화지방보다 적으며, 우리나라 대표적인 과우(寡雨)지역임. 바람은 연중 서북서풍이 주풍향이고, 그 다음은 동남동풍이 많이 불고 있음.

봄(3~5월) : 평년 평균기온 11.6℃, 강수량 204.6㎜, 평균풍속 2.0m/s이며, 이동성 고기압의 영향을 받아 일교차가 매우 큼.

여름(6~8월) : 평년 평균기온 23.5℃, 강수량 598.9㎜, 평균풍속 1.5m/s이며, 장마 이후 대기불안정으로 천둥번개를 동반한 소나기가 자주내리고, 산간지역을 중심으로 우박이 내려 농작물 피해가 종종 발생함.

가을(9~11월) : 평년 평균기온 13.0℃, 강수량 199.4㎜, 평균풍속 1.4m/s이며, 일교차가 크고 아침에 복사안개가 자주 발생함.

겨울(12~2월) : 평년 평균기온 -0.7℃, 강수량 63.6mm, 평균풍속 1.9m/s이며, 찬 대륙고기압의 주기적인 영향으로 한파가 나타나고, 북쪽으로 기압골이 지날 때 강설현상이 종종 발생함."
상주시,"연평균기온은 12.5℃(2002~2011년), 연평균강수량은 1,207㎜(2002~2011년). 바람은 연중 서풍 계열이 많이 불고 있으며, 연평균 풍속은 1.8m/s(2002~2011년)임.

봄(3∼5월) : 평년 평균기온 12.3℃, 강수량 233.7㎜, 평균풍속 2.2m/s이며, 서리나 얼음현상이 4월 하순까지 발생하고 일교차가 큼.

여름(6∼8월) : 평년 평균기온 23.8℃, 강수량 715.1㎜, 평균풍속 1.2m/s이며, 국지적인 집중호우가 자주 발생함.

가을(9∼11월) : 평년 평균기온 13.6℃, 강수량 184.6㎜, 평균풍속 1.3m/s이며, 내륙 산간 분지에 위치하여 일교차가 크며, 10월 하순에 서리나 얼음 현상이 나타남.

겨울(12~2월) : 평년 평균기온 0.2℃, 강수량 73.4㎜, 평균풍속 2.4m/s 이며, 대륙고기압 확장 시에 눈이 자주 내리며, 기온이 낮음."
울진군,"연평균기온은 12.6℃, 연평균강수량은 1,119.0㎜, 평균풍속 3.8m/s임.

봄(3~5월) : 평년 평균기온 11.8℃, 강수량 189.0㎜, 평균풍속 4.3m/s이며, 이동성 고기압의 영향으로 서풍 계열의 바람이 탁월하고, 푄현상으로 인해 따뜻하나 북동풍이 불 때 싸늘함.

여름(6~8월) : 평년 평균기온 21.9℃, 강수량 501.4㎜, 평균풍속 4.0m/s이며, 오호츠크해 고기압의 영향으로 한랭다습한 동풍계열의 바람이 유입되어 선선함.

가을(9~11월) : 평년 평균기온 14.7℃, 강수량 307.1㎜, 평균풍속 3.2m/s이며, 북동기류의 영향으로 강수현상이 빈번하게 발생함. 대륙고기압이 점차 확장하면서 건조기류가 유입되어 지속됨.

겨울(12~2월) : 평년 평균기온 4.6℃, 강수량 121.4㎜, 평균풍속 3.7m/s이며, 내륙지방에 비해 온난한 편임. 국지적인 강풍현상이 자주 나타나고, 북동기류의 영향으로 대설현상이 종종 발생함."
울릉도,"울릉도(북위 37˚29´, 동경 130˚54´)는 우리나라 동해상에서 가장 큰 유인도로 해저 약 2000m에서 솟은 용암이 굳어져 형성된 화산섬이며, 총 44개 섬으로 이루어져 있음. 또한, 울릉도는 오각형, 크게 보면 삼각형 형태의 섬으로 성인봉(984m)을 중심으로 해안선 근처까지 200~400m의 험준한 산악으로 형성되어 있음. 울릉도연안바다의 해저지형은 해상에 드러난 섬 지형과 마찬가지로 매우 경사가 급하여 해안선에서 10km가량 떨어지면 1,000m가 넘는 심해임.

? 연 평균기온은 12.4℃, 연평균 강수량은 1383.4㎜이며, 연 평균풍속은 3.7m/s임.

? 봄(3~5월) : 평년 평균기온 10.7℃, 258.6㎜, 4.2m/s임.

? 여름(6~8월) : 평년 평균기온 21.5℃, 453.3㎜, 3.4m/s임.

? 가을(9~11월) : 평년 평균기온 14.9℃, 360.1㎜, 3.5m/s임.

? 겨울(12~1월) : 평년 평균기온 2.7℃, 307.2㎜, 3.7m/s임."
제주도,"제주도는 한반도의 최남단에 위치하며 수리적으로 북위 33°10′∼ 33°34′, 동경 126°10′∼127°에 해당된다. 지리적으로는 목포에서 약 145㎞(91마일), 부산에서 약 268㎞(168마일) 떨어진 섬으로 일반적인 기후분류상 아열대기후대에서 온대기후대로의 전이지대에 위치하고 있다. 태양고도가 연중 높아 태양의 순복사량이 에너지 수지상 과잉이 시작되는 위도대이며 여름에는 태양의 북상으로 열대기단의 영향권에 들기도 한다.

주위의 해륙분포를 보면 지구에서 가장 넓은 태평양의 가장자리인 북서태평양속에 있으면서 아시아 대륙에서 멀리 떨어져 있어 다습한 해양의 영향을 받고 있다. 일년 내내 남서쪽에서 흘러드는 따뜻한 적도해류의 지류인 쿠로시아 난류의 영향을 받고 있으며 겨울에 북쪽에서 흘러오는 북한해류나 황해의 찬 연안류같은 한류의 영향을 직접 받지는 않는다고 볼 수 있다. 제주도 주변 및 남해 표층수온은 1970년대 18~19℃ 사이지만, 최근 10년(1999~2008년) 19.5℃에 가까운 값을 보이고 있다. 한반도 주변해역 전체로써는 최근 41년간 약 1.31℃ 상승하는 추세이며, 남해에서 1.29℃의 상승폭을 보이고 있다.(자료 : 2009, 국립수산과학원)"
